nr	bf01	bf02	bf03	bf04	bf05	bf06	bf07	bf08	bf09	bf10	bf11	bf12	bf13	bf14	bf15	bf16	bf17	bf18	bf19	bf20	sex	alter	nation	schule
296	4	2	1	3	4	5	2	3	4	5	1	3	4	4	3	4	3	3	3	1	2	21	1	3
297	4	3	5	4	3	4	5	3	3	5	3	5	5	4	4	5	4	2	4	5	2	29	1	3
298	4	4	5	5	4	3	4	5	4	5	4	4	4	3	4	3	3	3	2	2	2	23	1	3
299	4	4	3	5	4	5	2	4	4	5	3	4	5	4	3	5	4	3	5	2	1	23	1	3
300	5	4	2	3	3	5	3	5	3	3	3	2	4	4	4	3	5	4	3	3	2	21	1	3
301	4	4	4	3	3	4	4	4	3	4	4	3	2	3	4	3	4	3	2	4	1	22	1	3
302	2	5	2	5	3	5	1	5	3	5	3	5	3	2	5	4	5	3	5	1	2	21	1	3
303	4	5	3	5	4	4	4	5	4	5	4	3	4	3	5	3	4	3	1	3	1	23	1	3
304	4	2	5	2	5	3	4	2	5	3	5	4	3	4	2	4	2	4	1	1	2	24	1	3
305	5	4	4	5	4	5	4	3	4	5	4	3	4	3	2	3	4	2	1	5	1	25	1	3
306	3	5	3	5	5	5	3	5	5	5	5	5	3	5	5	3	5	5	5	3	1	22	1	3
307	4	4	3	5	4	3	3	5	4	5	4	4	3	4	5	3	4	4	5	3	1	19	1	3
308	5	5	4	2	4	5	5	5	5	4	5	3	5	4	5	4	5	5	1	4	1	22	15	3
309	5	5	3	4	4	5	3	5	4	5	3	1	4	4	5	5	5	4	4	3	2	22	1	3
310	4	4	3	4	4	5	3	2	4	4	5	1	5	4	4	4	5	5	3	3	2	22	1	3
311	5	4	4	4	4	5	2	5	5	3	5	4	5	5	5	5	5	4	2	2	1	27	1	3
313	5	4	4	3	4	5	3	3	5	3	3	2	4	4	4	3	3	4	2	3	2	21	1	3
314	4	4	2	3	4	5	2	4	4	2	4	2	5	4	5	5	4	4	3	2	1	21	1	3
315	5	4	3	4	4	4	2	3	4	4	2	5	5	3	2	5	4	3	1	3	1	20	19	3
316	4	5	4	5	4	4	4	3	4	5	4	4	3	4	2	4	4	4	5	4	1	23	1	3
317	4	4	1	5	3	3	1	4	2	5	5	3	4	4	4	3	3	3	5	1	2	22	1	3
319	4	4	4	4	4	4	4	3	4	4	3	5	4	4	4	5	4	3	4	4	1	20	1	3
320	3	4	4	5	4	4	4	4	4	5	4	3	4	3	5	4	5	4	5	4	1	20	1	3
321	4	3	4	5	4	4	4	3	5	5	5	4	5	4	2	4	4	5	3	4	1	20	1	3
322	3	5	3	5	4	4	2	5	4	4	3	3	4	3	5	5	5	4	4	3	1	19	1	3
323	3	2	2	2	4	3	2	2	4	2	2	5	3	4	2	4	4	4	5	2	2	23	1	3
324	3	4	3	4	4	3	3	4	3	2	4	2	3	3	4	3	4	3	2	3	1	20	1	3
325	4	2	3	4	5	4	3	5	5	5	4	2	3	4	5	3	4	5	5	3	2	20	1	3
326	4	5	3	5	5	4	3	5	5	5	4	5	4	2	5	2	5	5	3	3	1	19	1	3
327	2	4	2	5	5	4	3	5	5	5	3	5	4	5	5	5	5	5	5	2	2	21	1	3
328	2	1	3	2	4	2	3	3	4	2	4	3	2	4	3	1	2	3	5	4	2	27	1	3
329	3	4	2	4	4	4	2	2	4	3	2	5	4	3	3	4	3	3	3	3	1	20	1	3
330	4	4	3	3	4	5	3	2	3	4	2	3	4	3	4	3	3	3	4	1	1	34	1	3
331	3	3	2	4	4	5	2	4	4	5	4	5	4	3	3	4	5	3	5	3	1	22	17	3
332	3	3	5	2	3	4	4	5	3	3	5	2	4	2	4	3	3	4	4	4	2	21	24	3
333	4	4	3	5	3	4	2	4	3	4	4	2	5	3	3	5	4	4	3	3	1	22	1	3
334	5	5	4	2	3	5	3	3	3	2	4	1	5	4	4	3	5	3	2	2	2	20	1	3
335	4	5	2	5	4	5	2	4	4	5	3	2	3	4	5	4	4	4	5	2	2	20	1	3
336	4	5	5	5	4	4	5	3	4	5	4	5	4	4	3	3	4	3	4	4	2	22	1	3
337	3	4	2	3	3	5	3	5	3	4	5	4	5	4	5	4	4	4	4	3	2	20	1	3
338	3	4	3	5	4	3	3	4	4	4	4	4	3	3	4	2	4	3	5	3	1	22	1	3
339	2	4	2	5	3	3	2	5	4	5	3	2	1	3	4	1	4	4	5	1	2	29	1	3
340	3	3	4	5	3	4	4	4	3	4	5	4	3	3	4	4	4	3	5	4	2	22	1	3
341	4	5	5	5	5	3	4	5	5	4	2	4	4	5	5	5	5	5	5	4	2	29	1	3
342	4	5	4	4	4	4	3	5	4	4	5	2	4	4	5	5	5	5	1	4	1	26	1	3
344	5	5	4	5	5	5	5	5	5	5	4	2	5	3	5	5	5	5	5	3	1	19	1	3
345	4	5	4	5	3	3	4	4	3	4	5	3	2	4	5	2	5	2	5	2	1	21	1	3
346	4	4	2	5	4	4	1	5	4	4	5	2	4	4	4	5	4	4	5	2	1	22	1	3
347	4	4	4	4	4	4	3	4	3	3	5	2	3	3	4	2	5	3	2	3	1	25	1	3
348	4	4	5	4	4	4	5	4	4	4	4	2	4	4	3	4	4	3	4	4	1	23	1	3
349	4	4	2	4	3	5	2	2	3	4	4	3	3	2	2	4	4	2	1	2	1	20	1	3
350	3	5	4	5	3	4	5	4	3	4	5	2	5	3	5	4	4	4	3	5	1	21	1	3
351	4	5	3	5	3	4	4	5	3	5	4	4	3	3	5	3	5	4	2	3	1	29	1	3
352	5	5	4	4	4	5	4	4	4	2	4	3	5	3	5	4	5	4	2	4	1	21	1	3
353	1	5	3	2	4	5	3	5	4	2	5	2	5	3	5	5	5	4	2	3	1	19	1	3
354	5	5	4	3	5	5	5	4	4	3	4	2	5	4	4	4	5	5	2	5	1	21	1	3
355	3	4	4	5	4	4	4	5	4	5	3	3	4	3	4	3	5	3	2	3	1	22	1	3
356	4	3	2	4	4	5	2	3	4	4	2	4	4	3	4	4	4	3	3	2	2	20	1	3
357	4	3	4	2	3	4	4	4	4	2	4	2	3	4	4	3	3	4	2	4	2	27	1	3
358	3	5	3	5	4	4	2	5	4	4	4	2	4	4	4	3	3	4	4	3	2	22	1	3
359	4	5	2	4	3	5	1	5	3	5	4	2	3	3	5	3	4	3	2	2	1	19	1	3
360	4	4	3	3	3	4	2	4	3	3	3	3	5	3	4	4	4	3	2	3	2	21	1	3
361	3	4	3	4	3	2	2	3	3	5	4	4	4	2	4	3	4	2	5	2	1	22	1	3
362	4	5	4	5	3	5	5	4	4	4	3	2	4	3	4	4	4	3	4	4	1	22	1	3
363	2	3	4	3	3	3	4	3	3	3	4	3	3	3	4	2	4	3	3	4	2	23	1	3
364	5	4	4	5	4	5	4	5	4	5	5	4	5	3	2	4	4	5	3	3	1	21	1	3
365	1	2	2	3	2	5	4	5	3	4	2	3	2	3	3	2	3	2	3	2	2	27	1	3
366	4	4	2	2	3	3	2	4	3	1	5	3	3	4	5	2	5	4	4	2	2	24	1	3
367	4	5	-99	2	-99	-99	-99	4	-99	-99	-99	-99	4	-99	-99	-99	4	-99	-99	-99	2	25	1	3
368	5	4	4	2	4	4	4	4	4	3	4	2	2	3	4	2	3	3	2	4	2	21	10	3
369	3	4	2	2	3	3	2	4	3	4	5	2	2	4	5	2	5	3	2	3	2	25	1	3
370	4	3	3	4	4	4	3	5	4	5	3	2	5	4	5	4	4	3	2	2	2	17	1	2
371	3	4	2	3	4	4	2	4	4	4	3	3	4	4	4	3	4	4	4	2	2	29	1	3
372	3	4	3	4	4	3	3	4	5	4	4	3	4	4	4	4	4	4	4	2	2	26	1	3
373	5	5	4	5	5	5	4	5	4	5	5	3	5	4	5	5	5	5	4	5	1	22	1	3
374	3	4	3	5	4	5	2	3	4	4	5	1	3	3	5	3	5	3	5	4	1	22	1	3
375	4	3	3	4	3	5	5	4	3	5	5	3	5	4	4	4	4	3	5	5	2	24	1	3
376	4	5	2	5	3	4	2	4	3	5	3	4	4	5	5	3	5	4	3	2	2	21	1	2
377	2	3	3	1	4	4	2	4	3	2	3	4	3	5	5	2	5	3	1	2	2	23	1	3
378	4	4	4	4	4	4	5	5	4	4	3	2	4	3	4	2	3	3	3	4	1	23	1	3
379	2	4	4	5	3	3	4	4	3	4	5	3	3	3	5	4	4	4	5	4	1	20	1	3
380	5	4	2	1	3	5	2	3	2	1	4	1	5	3	4	5	5	4	1	2	1	22	10	3
381	2	4	4	2	4	3	4	4	4	3	4	2	3	3	4	3	4	4	3	4	2	24	1	3
382	5	4	2	4	3	4	2	4	3	5	4	4	4	3	4	3	5	3	5	2	1	23	17	3
383	2	4	3	5	5	3	4	4	5	4	4	5	4	5	4	5	5	5	5	4	2	23	1	3
384	5	4	3	4	4	5	4	2	4	2	3	1	5	3	3	5	5	3	5	4	1	20	1	3
385	3	5	5	5	4	3	5	5	4	5	5	2	2	4	3	3	5	1	5	5	1	19	1	3
386	5	4	3	5	4	5	3	4	4	5	5	4	5	3	3	5	5	5	5	5	1	21	1	3
387	5	4	3	5	4	5	4	4	4	5	5	3	4	4	5	5	5	4	2	4	1	26	1	3
388	5	4	3	5	3	4	3	4	3	5	3	5	4	4	4	3	3	3	4	3	1	19	1	3
389	4	4	5	3	4	3	5	4	4	4	4	2	3	3	3	2	4	3	4	4	1	19	1	3
390	4	5	4	4	4	4	4	5	4	1	4	1	5	4	5	4	5	4	2	4	2	21	1	3
391	3	3	5	2	4	3	5	4	4	3	5	1	3	4	4	2	4	4	1	5	1	22	1	3
392	4	4	4	4	4	4	4	4	4	4	5	3	4	4	4	3	4	4	2	4	2	22	1	3
393	3	3	1	4	3	3	2	3	3	4	2	4	4	4	3	4	4	3	4	1	2	25	1	3
394	5	4	3	4	3	5	4	4	3	2	4	2	5	4	2	3	5	3	4	2	2	28	1	3
395	5	4	3	3	3	5	3	4	4	3	3	1	5	4	5	4	5	4	2	2	1	19	1	3
397	4	5	3	4	4	5	3	4	4	5	5	2	4	3	5	3	4	3	2	2	1	19	1	3
398	4	5	4	4	4	5	4	4	4	4	5	4	3	3	4	3	5	3	4	4	1	22	1	3
399	3	4	3	4	3	4	3	3	3	4	4	3	4	3	4	4	4	2	4	3	1	19	1	3
401	3	5	1	4	4	4	1	3	4	5	4	3	2	3	4	2	4	3	2	2	1	22	1	3
402	4	4	3	5	4	4	3	4	4	5	3	5	3	3	4	4	4	3	5	4	1	20	1	3
403	3	4	5	5	4	3	4	5	4	4	5	3	4	4	4	3	5	3	3	4	1	20	1	3
404	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	4	1	21	1	3
405	4	4	4	5	2	4	5	3	3	5	5	4	5	3	4	5	5	4	2	3	1	23	31	3
406	5	4	3	4	4	5	4	3	4	4	4	3	4	4	5	3	4	3	2	2	1	21	1	3
407	5	5	5	5	4	5	4	5	4	5	5	5	4	5	4	4	5	5	5	5	1	19	1	3
408	3	2	4	4	3	4	4	4	3	5	5	5	4	3	4	5	4	4	4	4	1	20	1	3
409	5	5	2	4	4	5	2	5	4	4	5	4	5	4	5	5	5	4	4	2	1	20	1	3
410	4	4	2	5	5	5	2	2	4	5	3	3	5	4	4	5	4	4	4	3	2	21	1	3
411	4	2	1	3	2	5	1	2	2	4	2	5	4	2	3	4	3	2	2	2	1	20	1	3
412	4	3	4	5	5	3	4	3	4	5	4	4	3	3	1	3	3	3	5	3	1	21	1	3
413	4	5	3	5	4	5	2	5	4	5	4	5	4	3	5	3	5	4	3	2	1	20	1	3
414	3	2	4	2	3	3	3	3	4	2	3	3	4	4	3	4	4	4	2	3	1	21	1	3
415	3	4	3	5	3	3	3	4	3	5	5	4	3	3	4	3	4	3	4	3	1	22	1	3
416	5	5	4	5	4	5	3	4	3	5	4	3	4	3	4	4	4	3	4	4	2	26	1	3
417	5	4	3	4	3	3	3	3	4	5	4	2	4	4	4	2	4	4	3	4	2	21	16	3
418	3	4	3	4	4	5	3	5	4	2	3	1	5	3	5	4	5	3	3	3	1	19	1	3
419	4	5	4	5	4	4	5	5	4	2	5	2	4	4	5	4	5	4	2	5	1	25	1	3
420	4	5	4	5	4	3	4	4	4	5	4	2	3	4	5	2	4	3	5	4	1	21	1	3
421	3	4	3	4	3	3	3	3	4	2	4	1	4	3	3	2	4	3	2	2	1	21	1	3
422	3	3	2	4	3	3	3	3	3	4	2	2	2	3	4	3	4	4	4	2	1	21	1	3
423	4	5	2	5	4	3	1	5	4	5	4	4	2	3	5	2	5	3	4	2	1	29	1	3
424	2	3	4	4	3	4	4	3	3	4	5	3	3	3	5	2	5	3	1	4	2	21	1	3
425	5	4	4	3	3	4	4	4	3	2	4	2	5	4	3	3	4	3	1	4	1	20	1	3
426	2	3	2	4	3	5	2	5	3	4	4	5	4	3	4	4	4	3	5	3	1	30	1	3
427	4	3	2	5	5	3	2	2	4	5	2	4	1	3	4	4	4	4	5	3	2	22	17	3
428	4	2	1	5	4	4	1	1	4	4	2	3	5	4	5	1	3	3	5	2	2	23	1	3
429	4	4	3	5	4	4	3	4	4	5	4	2	4	4	3	3	4	5	5	4	1	20	1	3
430	4	4	4	4	4	4	4	3	4	4	4	3	3	3	4	3	4	3	3	4	1	23	1	3
431	4	4	5	4	4	4	5	4	4	3	5	2	4	3	4	4	4	3	3	4	1	36	1	3
432	3	3	5	5	3	3	5	5	3	5	5	2	2	3	4	2	4	3	5	5	1	25	1	3
433	5	3	2	4	5	3	1	3	5	4	2	3	3	5	3	4	3	3	3	3	2	23	28	1
434	4	4	4	4	3	4	4	4	3	3	4	2	4	3	4	3	4	3	3	2	1	20	1	3
435	4	5	4	2	4	5	3	4	4	1	4	1	5	4	4	4	5	4	2	3	1	20	1	3
436	4	4	3	4	4	3	4	2	5	4	3	5	4	4	4	4	3	4	5	3	1	26	1	3
437	5	5	5	3	5	4	5	4	5	3	3	1	5	4	5	5	5	5	2	5	1	22	1	3
439	4	3	2	4	4	4	3	4	4	5	4	3	4	4	3	2	4	2	3	1	2	27	1	3
440	5	5	5	5	5	5	5	3	5	3	5	2	5	4	4	5	4	4	5	5	1	19	1	3
441	3	2	4	4	4	3	4	4	4	4	4	4	3	4	4	4	4	4	4	4	1	24	1	3
442	2	2	1	3	3	5	2	3	3	4	5	5	3	3	3	2	4	3	4	3	2	21	1	3
443	5	4	4	5	4	4	4	4	4	5	5	2	5	3	4	4	4	4	4	5	1	22	1	3
444	3	3	4	4	5	5	4	4	5	4	4	3	4	5	4	4	5	5	4	4	2	21	1	3
445	5	5	3	4	3	5	3	4	4	5	2	1	3	3	4	3	4	3	4	4	1	20	1	3
446	2	4	3	3	4	3	3	4	4	2	5	2	4	4	4	2	3	4	4	2	2	24	1	3
447	3	3	3	5	3	3	3	4	3	4	4	3	2	3	3	2	4	3	4	3	1	26	1	3
448	4	4	2	5	4	4	2	4	4	5	2	4	3	3	4	4	4	4	4	2	1	21	1	3
449	4	4	4	5	4	4	4	5	4	4	5	2	4	3	4	4	4	4	5	4	1	22	1	3
450	3	3	4	4	4	3	3	4	4	4	5	4	3	3	3	4	4	3	3	4	1	22	1	3
451	2	3	3	5	3	4	3	4	3	5	4	3	2	3	4	3	4	2	5	4	2	28	1	3
452	5	5	4	5	4	5	4	5	4	5	5	3	5	4	5	5	5	4	3	4	1	22	1	3
453	4	5	3	5	4	5	3	5	3	5	4	4	3	3	5	3	5	2	5	3	1	21	1	3
455	5	4	4	3	3	5	4	5	4	2	4	5	4	3	3	5	5	5	5	4	1	23	1	3
456	3	4	5	5	4	3	5	4	4	5	5	5	5	4	4	5	4	4	5	5	1	22	1	3
457	3	4	3	4	3	4	4	4	3	4	4	3	4	3	4	3	4	3	4	3	1	21	1	3
458	4	4	3	3	5	5	3	2	5	2	3	5	3	3	2	3	3	4	1	2	1	21	19	3
459	3	4	4	4	4	4	4	4	4	4	4	2	3	4	4	3	4	4	4	4	2	23	1	3
460	5	4	3	3	4	5	3	4	4	3	4	2	4	4	5	4	4	4	2	3	2	21	1	3
461	5	5	5	5	5	5	5	5	5	5	5	3	5	4	5	5	5	5	4	5	1	22	18	3
462	3	2	2	3	5	2	1	2	4	2	3	3	5	4	3	3	2	4	1	2	2	25	1	3
463	3	4	2	4	4	4	4	3	4	5	5	3	3	3	3	4	3	4	3	4	1	22	1	3
464	5	4	3	5	3	5	3	4	3	4	3	5	4	4	4	4	4	3	5	3	1	22	1	3
465	3	4	4	4	4	4	3	3	4	4	4	4	4	3	4	3	4	4	3	2	1	26	1	3
467	2	5	3	5	4	4	3	5	4	5	4	5	4	4	4	5	5	3	5	3	2	28	1	3
470	3	4	3	3	4	5	5	4	4	2	3	4	4	5	4	3	4	4	2	4	2	24	1	3
471	2	4	4	3	3	3	5	3	4	3	2	4	3	3	4	3	4	3	3	4	2	27	1	3
472	3	4	2	3	3	3	3	4	2	4	4	3	4	3	3	3	4	2	4	2	1	25	1	3
474	5	5	4	5	4	5	5	5	4	5	5	5	5	4	5	5	5	5	5	5	1	22	29	3
475	3	4	4	5	4	4	3	4	4	3	3	3	4	5	5	3	4	3	3	4	2	26	1	3
476	3	4	3	4	4	4	3	4	4	3	3	3	4	3	4	4	4	3	3	3	1	32	1	3
477	3	2	2	4	4	2	2	2	4	5	1	5	4	4	3	5	1	4	5	2	2	25	1	3
478	3	4	5	2	4	3	5	3	4	3	5	4	3	3	4	3	4	3	3	4	1	22	1	3
479	4	3	5	3	3	4	4	2	2	2	4	3	4	2	2	3	3	3	4	4	1	23	1	3
480	4	4	3	5	3	3	3	4	3	5	5	4	3	4	4	4	3	2	4	4	1	25	1	3
481	5	5	3	5	4	5	3	5	3	5	4	2	4	3	4	5	4	3	5	3	1	23	1	3
482	5	5	4	3	4	5	3	5	3	2	5	1	5	3	5	3	5	3	2	3	2	24	1	3
483	1	4	3	5	4	2	3	4	4	5	4	4	2	2	4	3	2	3	3	3	2	27	1	3
484	2	4	2	2	4	2	2	1	3	3	3	3	3	3	5	4	5	4	3	1	2	24	1	3
485	3	4	3	4	4	4	3	3	4	4	4	2	3	3	3	2	4	3	4	2	1	25	1	3
486	4	4	3	4	3	4	2	4	4	4	5	3	3	2	4	3	5	3	4	3	2	25	1	3
487	5	5	5	5	3	3	3	5	3	4	4	4	5	3	4	5	5	4	4	5	2	26	1	3
488	5	5	5	5	4	5	5	5	4	5	5	5	5	4	5	5	4	4	4	5	1	22	1	3
489	3	3	4	5	3	3	1	2	3	4	4	5	4	4	2	4	4	5	5	2	2	25	1	3
490	2	4	2	4	3	4	2	4	3	4	4	3	3	4	4	3	4	4	5	2	2	23	1	3
491	5	4	3	4	4	5	3	4	4	4	2	2	5	4	3	5	5	4	2	4	1	19	1	3
492	3	5	4	4	4	3	4	5	4	2	4	1	4	3	4	2	4	3	3	4	1	23	1	3
493	3	5	4	5	3	2	4	4	3	5	3	5	3	3	5	4	2	3	5	4	2	23	1	3
494	4	4	3	3	3	5	3	5	3	2	5	2	5	3	5	2	5	3	1	4	1	24	1	3
495	5	5	4	5	5	5	3	4	5	3	4	2	4	4	5	5	5	3	5	4	1	21	1	3
497	3	2	3	5	3	5	2	5	4	4	3	3	4	4	5	2	5	3	3	2	2	25	1	3
498	3	3	4	2	4	4	2	3	4	3	3	3	3	3	4	2	3	3	3	2	2	31	1	3
499	4	4	4	3	4	5	3	3	4	2	4	2	4	3	3	4	4	4	3	2	1	29	1	3
500	1	3	5	4	4	2	5	4	4	4	4	2	2	4	5	1	4	2	4	4	2	25	1	3
