nr	bf01	bf02	bf03	bf04	bf05	bf06	bf07	bf08	bf09	bf10	bf11	bf12	bf13	bf14	bf15	bf16	bf17	bf18	bf19	bf20	sex	alter	nation	schule
98	4	4	4	3	4	3	4	4	4	4	5	2	3	3	4	3	4	3	5	4	1	23	1	3
99	2	4	3	4	5	3	3	5	5	3	5	1	4	4	4	3	3	4	3	2	2	31	1	3
100	3	2	3	3	4	4	2	2	4	3	5	3	3	3	3	4	4	3	3	4	1	25	1	3
101	3	5	3	4	4	4	3	4	4	4	4	1	3	3	5	3	5	5	2	3	1	27	1	3
102	4	5	3	4	4	4	3	4	4	4	4	3	4	4	5	4	4	4	5	4	1	18	1	3
103	3	4	5	1	4	4	5	3	4	1	5	2	3	4	4	2	3	4	5	5	2	22	1	3
104	4	3	4	2	4	4	5	2	4	3	5	2	4	4	3	3	4	4	1	5	1	19	1	3
106	2	3	2	4	5	2	2	4	5	4	3	1	3	4	2	2	4	4	4	1	2	22	1	3
107	3	3	2	4	2	3	2	2	2	4	3	3	4	2	4	2	4	2	5	2	1	21	1	3
108	4	5	3	5	3	5	2	4	3	3	3	1	2	3	4	1	5	2	3	2	1	22	1	3
109	5	4	4	5	4	5	4	5	4	5	5	5	5	5	3	5	5	5	3	4	1	27	1	3
110	4	3	4	5	4	3	3	4	3	4	4	4	2	3	3	3	4	3	4	3	1	20	1	3
111	5	5	5	5	5	4	4	5	5	5	5	5	5	4	5	5	4	4	4	4	1	21	1	3
112	5	4	2	5	3	4	3	4	3	4	3	4	4	3	3	2	4	3	5	2	1	25	1	3
113	5	4	4	2	4	5	4	4	4	3	5	2	5	4	4	5	4	4	3	4	1	21	1	3
114	4	5	2	4	4	4	2	5	4	3	3	4	2	4	5	3	5	4	5	3	2	30	1	3
115	3	5	3	4	3	4	3	5	3	5	4	2	3	3	5	2	5	3	2	3	1	22	1	3
116	5	3	5	3	5	4	5	4	5	4	5	2	3	4	3	2	4	4	1	5	1	18	1	3
117	2	4	3	4	4	2	4	4	4	4	5	3	3	4	4	3	4	4	4	4	1	27	1	3
118	5	3	2	5	4	3	2	3	4	5	4	5	5	4	3	5	5	4	5	2	1	20	1	3
119	4	3	5	5	4	4	5	5	3	5	5	4	3	4	4	2	5	4	2	4	2	20	1	3
120	2	2	5	5	4	2	5	4	4	5	4	3	4	2	3	2	3	4	5	5	2	27	1	3
121	5	5	2	5	3	5	2	4	2	5	4	4	5	4	5	4	5	3	5	3	1	19	1	3
122	2	5	2	5	4	4	1	3	4	5	2	2	5	3	3	5	5	3	4	3	1	23	1	3
123	5	3	4	4	3	4	3	2	4	4	3	3	5	3	3	4	3	3	2	2	2	24	1	3
124	4	4	4	3	4	3	4	4	4	4	5	2	4	3	3	4	4	3	2	3	1	22	4	3
125	3	2	4	5	4	3	4	2	4	5	4	5	3	2	3	4	2	2	5	3	1	24	1	3
126	2	5	3	4	5	4	2	5	5	4	5	3	4	5	5	4	5	4	3	5	1	23	1	3
127	4	2	1	5	3	4	4	5	4	5	5	5	4	4	4	4	4	4	5	4	1	22	1	3
128	5	4	5	4	5	5	5	3	5	5	5	3	5	5	3	5	4	3	2	5	1	19	1	3
129	5	4	4	5	3	4	4	4	3	5	5	5	5	3	4	5	4	4	5	4	1	18	1	3
130	5	3	4	5	5	5	5	4	5	5	5	5	5	2	3	5	3	4	4	5	1	19	1	3
131	3	3	3	4	5	3	2	2	5	3	4	4	4	5	3	4	3	5	4	2	2	22	1	3
132	3	2	4	3	4	4	3	3	4	5	4	4	3	4	3	3	4	4	3	3	1	24	12	3
133	3	5	4	5	3	4	4	3	3	5	4	5	4	5	5	3	4	5	5	4	2	29	1	3
134	3	5	3	2	3	3	3	5	3	1	5	2	3	4	5	4	5	4	3	3	2	28	1	3
135	3	4	3	4	3	4	3	4	3	4	4	5	4	3	4	4	4	3	4	2	2	27	1	3
136	3	4	1	5	3	4	1	5	4	2	3	3	3	4	4	2	4	4	5	2	1	21	1	3
137	4	4	3	4	3	4	3	5	4	4	4	2	5	4	4	4	4	4	4	3	2	28	1	3
138	3	5	5	4	4	4	5	5	4	5	5	2	4	5	5	5	5	3	4	4	1	21	1	3
139	3	5	5	2	4	4	5	5	5	3	4	2	3	4	4	2	5	3	4	4	2	25	1	3
140	4	5	5	2	4	5	5	5	5	4	5	4	4	4	4	4	5	5	1	5	1	40	2	3
141	4	5	4	4	5	3	4	3	5	4	5	2	5	5	5	5	5	5	1	5	1	25	1	3
142	5	3	3	3	4	5	4	4	3	2	4	2	4	4	4	5	5	4	1	4	1	22	1	3
143	3	5	3	5	3	5	2	5	3	5	5	2	4	2	5	3	5	4	5	2	2	27	1	3
144	3	4	4	5	4	4	4	4	4	4	4	3	3	4	4	4	4	4	5	4	1	26	1	3
145	5	5	5	5	4	5	4	5	4	4	5	3	4	3	4	4	5	3	3	4	1	23	1	3
146	4	4	3	2	4	5	3	4	3	3	5	3	4	3	4	3	4	3	2	2	2	21	1	3
147	5	5	4	5	4	4	3	4	4	4	5	2	4	3	4	4	4	3	5	4	1	27	1	3
148	2	1	3	4	5	1	3	2	5	4	5	3	2	4	1	4	3	3	5	3	2	23	1	3
149	2	4	3	2	2	2	3	5	1	4	4	1	2	4	4	4	4	2	4	3	2	22	1	3
150	4	5	3	4	4	4	3	5	4	3	4	3	4	4	5	4	5	4	2	2	1	22	1	3
151	4	5	3	3	4	4	3	4	4	3	4	2	5	5	5	5	5	5	5	3	1	22	1	3
152	5	3	3	3	4	2	1	2	5	2	2	4	4	4	5	3	4	4	5	1	2	23	1	3
153	4	4	5	5	4	2	4	3	5	4	5	3	4	3	4	4	3	2	5	4	1	22	1	3
154	5	5	5	3	4	5	4	4	4	3	5	2	4	4	4	4	4	4	4	4	2	28	1	3
155	3	4	5	4	4	3	4	4	4	3	5	3	4	3	4	4	4	4	4	4	1	22	1	3
156	5	5	3	4	4	5	3	4	4	2	5	1	5	5	4	5	5	4	3	3	1	24	1	3
157	4	5	2	5	3	5	2	4	3	5	3	5	4	3	5	3	5	3	3	2	1	22	1	3
