Posttest,Pretest,Effort
0.34284913829197516,1.1474073412181869,0.20985819190393998
NaN,NaN,NaN
-1.2976777998225217,-0.8413008473113773,NaN
NaN,NaN,NaN
NaN,0.3380493575142945,-0.7868845441246634
-1.4207173201811092,-1.2806666098934905,NaN
-0.19032211659523635,-0.07819189124770733,NaN
-0.1082957696895115,-0.2400634879884858,NaN
NaN,NaN,NaN
NaN,-0.9337989025918222,NaN
NaN,NaN,NaN
NaN,NaN,NaN
0.3633557250184064,0.1299287331332936,1.2066009279325434
1.0195665002642051,0.499920954255073,0.9574152439253925
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
2.1064155967650593,NaN,NaN
NaN,NaN,NaN
0.999059913537774,2.34988205986397,0.20985819190393998
NaN,NaN,NaN
NaN,-1.026296957872267,NaN
NaN,NaN,NaN
0.7734874595470307,0.615543523355629,-1.0360702281318142
-0.026269422783786647,-0.19381446034826338,0.7082295599182417
NaN,NaN,NaN
-4.31214604860791,-0.7719273058510437,NaN
-0.1288023564159427,-0.6331802229303765,NaN
-1.113118519284641,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
0.5069018321034249,0.26867581605396085,-0.03932749210321087
-0.1082957696895115,-0.10131640506781854,NaN
NaN,NaN,NaN
-0.5594406776709981,NaN,NaN
-0.06728259623664908,-0.263188001808597,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,-1.7431568862957145,NaN
0.11727668430123184,-0.4019350847292643,0.4590438759110908
1.3271653011606734,NaN,0.20985819190393998
-0.2723484635009612,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
-1.4822370803604028,-1.4656627204543802,NaN
NaN,NaN,NaN
-0.9490658254731912,NaN,NaN
-1.4822370803604028,3.043617474467306,NaN
-0.8465328918410352,NaN,NaN
-2.199967615785495,-1.8587794553962707,NaN
0.322342551565544,0.7311660924561851,-0.2885131761103617
NaN,-0.8181763334912662,NaN
0.09677009757480062,0.499920954255073,NaN
-0.08778918296308029,-0.031942863607484905,NaN
-0.538934090944567,0.24555130223384963,NaN
1.0400730869906365,NaN,NaN
NaN,NaN,NaN
-0.2723484635009612,NaN,0.4590438759110908
NaN,NaN,NaN
NaN,NaN,NaN
-1.215651452916797,NaN,NaN
-0.6619736113031542,-0.17068994652815217,-0.5376988601175126
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,-1.0725459855124895,NaN
-2.487059829955532,NaN,NaN
0.07626351084836941,0.7774151200964076,NaN
-1.4822370803604028,NaN,NaN
-1.4822370803604028,NaN,NaN
-0.31336163695382363,-0.4019350847292643,0.4590438759110908
-0.21082870332166756,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
0.014743750669075777,-0.263188001808597,NaN
0.0557569241219382,NaN,NaN
NaN,NaN,NaN
0.5889281790091497,NaN,-0.2885131761103617
NaN,NaN,NaN
-1.133625106011072,0.014306164032737519,-2.2819986481675683
2.147428770217922,2.8354968500863054,0.20985819190393998
0.5479150055562872,NaN,NaN
NaN,NaN,NaN
NaN,1.7486447005410783,0.20985819190393998
1.0605796737170676,1.7948937281813009,-0.2885131761103617
NaN,NaN,NaN
-0.4158945705859797,NaN,NaN
NaN,NaN,NaN
-0.21082870332166756,0.3611738713344057,NaN
NaN,NaN,NaN
0.322342551565544,-0.2169389741683746,0.9574152439253925
0.40436889847126883,NaN,NaN
0.9580467400849115,NaN,NaN
NaN,-0.5175576538298203,-1.0360702281318142
NaN,NaN,NaN
1.1836191940756549,1.263029910318743,-0.03932749210321087
0.24031620465981912,0.7542906062762963,NaN
NaN,NaN,NaN
NaN,NaN,NaN
1.6347641020571415,2.5348781704248595,1.2066009279325434
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
-0.3953879838595485,NaN,NaN
0.0557569241219382,NaN,1.4557866119396943
0.5889281790091497,1.054909285937742,0.9574152439253925
NaN,NaN,NaN
0.24031620465981912,0.3842983851545169,NaN
-1.133625106011072,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
0.6709545259148746,NaN,NaN
NaN,0.6849170648159627,NaN
-0.8670394785674663,-1.2806666098934905,-2.2819986481675683
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
0.15828985775409427,NaN,NaN
NaN,NaN,NaN
0.0557569241219382,-0.10131640506781854,NaN
0.9170335666320492,NaN,NaN
NaN,NaN,NaN
-0.2928550502273924,0.24555130223384963,0.20985819190393998
0.5274084188298561,0.9161622030170748,-0.03932749210321087
0.8145006329998931,NaN,NaN
0.6299413524620121,NaN,0.20985819190393998
NaN,NaN,NaN
0.7324742860941682,0.43054741279473935,-0.03932749210321087
NaN,NaN,NaN
NaN,NaN,NaN
-0.2723484635009612,-2.8993825773012754,NaN
NaN,NaN,NaN
-0.08778918296308029,-1.881903969216382,NaN
NaN,NaN,NaN
0.5889281790091497,-0.3556860570890419,0.9574152439253925
-0.6209604378502918,-0.10131640506781854,NaN
NaN,NaN,NaN
NaN,NaN,NaN
0.1993030312069567,-1.3731646651739353,-1.534441596146116
0.3633557250184064,0.1299287331332936,1.4557866119396943
NaN,NaN,NaN
0.3633557250184064,0.499920954255073,1.4557866119396943
-1.0105855856524848,NaN,NaN
1.1220994338963612,0.19930227459362723,-0.03932749210321087
0.7939940462734618,0.8467886615567412,NaN
NaN,NaN,NaN
0.711967699367737,1.1011583135779646,1.4557866119396943
-1.523250253813265,NaN,NaN
NaN,NaN,NaN
-1.3591975600018154,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
-0.5184275042181358,-0.586931195290154,-0.7868845441246634
NaN,NaN,NaN
-0.04677600951021786,-0.30943702944881946,-1.285255912138965
-0.19032211659523635,0.3149248436941833,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
1.2246323675285173,1.6792711590807448,0.7082295599182417
NaN,NaN,NaN
-0.6619736113031542,-0.17068994652815217,1.4557866119396943
-0.9695724121996224,-1.0494214716923782,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
1.4296982347928295,2.904870391546639,NaN
-0.7850131316617415,-1.7662814001158258,NaN
NaN,NaN,NaN
NaN,NaN,NaN
1.4296982347928295,2.4886291427846374,0.7082295599182417
NaN,NaN,NaN
-0.2928550502273924,0.3611738713344057,0.4590438759110908
NaN,NaN,NaN
-0.21082870332166756,-0.42505959854937553,NaN
NaN,-0.28631251562870824,NaN
-2.2409807892383578,-1.0956704993326007,-0.2885131761103617
-1.133625106011072,-1.234417582253268,-1.7836272801532669
-0.49792091749170453,-0.14756543270804096,NaN
0.13778327102766305,0.5461699818952954,-0.5376988601175126
NaN,NaN,NaN
NaN,NaN,NaN
-0.04677600951021786,-0.42505959854937553,NaN
0.5684215922827185,-0.2169389741683746,NaN
-0.641467024576723,-0.28631251562870824,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
0.09677009757480062,NaN,NaN
NaN,NaN,NaN
0.24031620465981912,0.29180032987407206,-1.285255912138965
0.8145006329998931,0.4767964404349618,NaN
-0.4569077440388421,0.060555191672959946,NaN
NaN,NaN,NaN
-3.2047903653806245,-1.558160775734825,NaN
0.4248754851977,NaN,0.4590438759110908
NaN,NaN,NaN
0.24031620465981912,NaN,NaN
0.40436889847126883,2.003014352562302,NaN
NaN,NaN,NaN
NaN,0.10680421931318237,NaN
-1.7078095343511461,-1.1881685546130456,NaN
-0.1288023564159427,NaN,NaN
1.0195665002642051,2.7198742809857492,NaN
NaN,NaN,NaN
-0.6619736113031542,NaN,NaN
NaN,NaN,NaN
0.7734874595470307,NaN,NaN
NaN,NaN,NaN
-1.2771712130960906,NaN,NaN
0.1993030312069567,0.3380493575142945,0.9574152439253925
NaN,NaN,NaN
NaN,NaN,NaN
NaN,-0.70255376439071,NaN
NaN,NaN,NaN
NaN,NaN,NaN
-0.06728259623664908,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
-2.753645457399138,-1.8125304277560483,NaN
NaN,NaN,NaN
NaN,-1.3731646651739353,NaN
-0.2723484635009612,-0.30943702944881946,-1.534441596146116
-0.8875460652938976,-1.0725459855124895,-0.2885131761103617
0.8145006329998931,0.499920954255073,NaN
-2.8356718043048628,-1.1881685546130456,0.9574152439253925
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
2.824146132190152,NaN,0.7082295599182417
0.9785533268113428,1.3786524794192991,0.7082295599182417
0.28132937811268155,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
0.8760203931791867,0.08367970549307116,-0.2885131761103617
NaN,NaN,NaN
0.44538207192413126,0.8005396339165187,1.4557866119396943
0.44538207192413126,0.9855357444774084,-0.03932749210321087
0.9785533268113428,1.1011583135779646,1.4557866119396943
NaN,NaN,NaN
2.065402423312197,1.054909285937742,0.7082295599182417
NaN,NaN,NaN
NaN,NaN,NaN
NaN,0.45367192661485056,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,-0.8413008473113773,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
2.3319880507558026,2.558002684244971,1.4557866119396943
NaN,NaN,NaN
0.6504479391884433,0.1299287331332936,-0.2885131761103617
NaN,NaN,NaN
-0.026269422783786647,-0.12444091888792976,0.20985819190393998
0.3633557250184064,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
-2.569086176861257,NaN,NaN
1.9218563162271785,1.1474073412181869,0.4590438759110908
NaN,NaN,NaN
-0.16981552986880513,NaN,0.9574152439253925
NaN,NaN,NaN
0.5889281790091497,-0.12444091888792976,NaN
NaN,NaN,NaN
NaN,NaN,NaN
0.8965269799056179,NaN,NaN
NaN,NaN,NaN
-1.502743667086834,-2.090024593597383,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,-1.1650440407929343,NaN
-0.8465328918410352,-0.7256782782108213,-1.7836272801532669
NaN,NaN,NaN
-1.318184386548953,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
-0.49792091749170453,-1.3037911237136015,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
0.03525033739550699,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
-0.2928550502273924,NaN,NaN
NaN,NaN,NaN
1.8398299693214537,1.933640811101968,-0.03932749210321087
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
1.0810862604434988,-0.10131640506781854,1.4557866119396943
-0.6619736113031542,-0.3556860570890419,NaN
0.9580467400849115,1.1705318550382982,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,-0.6794292505705989,NaN
0.9580467400849115,NaN,NaN
0.5069018321034249,NaN,NaN
-1.4207173201811092,NaN,NaN
0.40436889847126883,NaN,NaN
-1.0105855856524848,-0.47130862618959796,NaN
0.609434765735581,0.499920954255073,0.9574152439253925
-0.6209604378502918,-0.07819189124770733,-0.7868845441246634
NaN,NaN,NaN
NaN,NaN,NaN
0.7529808728205994,-0.031942863607484905,NaN
NaN,NaN,NaN
-0.5594406776709981,-0.3788105709091531,NaN
NaN,NaN,NaN
0.4248754851977,0.08367970549307116,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,-3.523744450444278,NaN
NaN,NaN,NaN
NaN,-1.6969078586554922,NaN
-0.8465328918410352,-0.42505959854937553,NaN
-0.23133529004809877,NaN,NaN
-0.7645065449353103,-0.5406821676499316,-2.0328129641604176
NaN,NaN,NaN
-0.31336163695382363,-0.33256154326893067,NaN
0.7734874595470307,-0.12444091888792976,NaN
-0.8670394785674663,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
0.40436889847126883,NaN,NaN
-0.4364011573124109,-0.2400634879884858,NaN
-0.7234933714824479,-0.19381446034826338,NaN
-0.06728259623664908,NaN,NaN
0.2608227913862503,0.6617925509958514,0.9574152439253925
0.0557569241219382,0.4767964404349618,NaN
-0.8465328918410352,-0.7256782782108213,NaN
-0.005762836057355435,-1.0725459855124895,-2.2819986481675683
0.13778327102766305,0.615543523355629,-0.03932749210321087
0.6709545259148746,NaN,NaN
NaN,NaN,NaN
-2.261487375964789,NaN,-1.0360702281318142
-0.31336163695382363,-0.19381446034826338,NaN
-0.9900789989260537,-0.70255376439071,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
-0.3338682236802548,-0.19381446034826338,NaN
-1.7488227078040084,-1.0956704993326007,NaN
NaN,NaN,NaN
-1.8718622281625958,-0.8413008473113773,-1.0360702281318142
NaN,NaN,NaN
-0.06728259623664908,NaN,NaN
0.6504479391884433,0.26867581605396085,0.7082295599182417
-0.7439999582088791,NaN,NaN
0.30183596483911274,-0.14756543270804096,-1.7836272801532669
-0.5594406776709981,-0.19381446034826338,-0.5376988601175126
NaN,NaN,NaN
-0.6619736113031542,0.29180032987407206,NaN
-0.37488139713311724,0.014306164032737519,0.9574152439253925
-0.4569077440388421,-0.30943702944881946,NaN
NaN,NaN,NaN
-0.5594406776709981,NaN,NaN
-2.158954442332633,-0.28631251562870824,NaN
-0.47741433076527334,-0.7719273058510437,NaN
-0.6209604378502918,NaN,NaN
